id,totalWinners,totalAmount,winners,startedAt,settledAt,status,gameType,currency,wager,payout,dealerName,dealerUid,numOfParticipants,topSlot_WheelSector,topSlot_Multi,resultType,resultSector,bonusType,bonusMultiplier,cashMinMulti,coinColor,flapperGreen,flapperBlue,flapperYellow,maxMulti,isTopSlotMatched
65de2e79d3572a704f8e2cad,4985,14110,"[1515.44, 829.45, 266.39, 252.04, 223.93]",2024-02-27T18:47:43.354Z,2024-02-27T18:48:24.068Z,Resolved,crazytime,EUR,4.16,1.02,Alise,tts131885_______,1,CashHunt,2,WinningNumber,2,,,,,,,,2,False
65de2e4ad3572a704f8e2ca9,3946,5696,"[166.86, 138.36, 130.24, 126.02, 100.0]",2024-02-27T18:46:54.583Z,2024-02-27T18:47:37.554Z,Resolved,crazytime,EUR,0.0,0.0,Alise,tts131885_______,1,5,1,WinningNumber,1,,,,,,,,1,False
65de2e19d3572a704f8e2ca6,5415,99708,"[7880.27, 4280.58, 2482.42, 2169.2, 1539.14]",2024-02-27T18:46:07.080Z,2024-02-27T18:46:48.727Z,Resolved,crazytime,EUR,4.37,19.52,Alise,tts131885_______,1,5,5,WinningNumber,5,,,,,,,,25,True
65de2dead3572a704f8e2ca3,3973,6083,"[276.72, 250.0, 130.24, 119.35, 100.0]",2024-02-27T18:45:15.745Z,2024-02-27T18:46:01.087Z,Resolved,crazytime,EUR,3.89,0.68,Alise,tts131885_______,1,5,2,WinningNumber,1,,,,,,,,1,False
65de2db6d3572a704f8e2c9e,4207,6187,"[415.07, 200.0, 130.24, 117.62, 100.0]",2024-02-27T18:44:30.487Z,2024-02-27T18:45:09.805Z,Resolved,crazytime,EUR,2.87,0.27,Alise,tts131885_______,1,10,1,WinningNumber,1,,,,,,,,1,False
65de2d89d3572a704f8e2c9a,4048,6434,"[444.96, 276.72, 185.04, 130.24, 117.62]",2024-02-27T18:43:47.172Z,2024-02-27T18:44:24.535Z,Resolved,crazytime,EUR,2.73,0.27,Alise,tts131885_______,1,5,3,WinningNumber,1,,,,,,,,1,False
65de2d5ed3572a704f8e2c97,5641,44277,"[4445.28, 917.74, 833.49, 825.0, 649.38]",2024-02-27T18:43:03.851Z,2024-02-27T18:43:41.270Z,Resolved,crazytime,EUR,2.73,6.01,Alise,tts131885_______,1,2,4,WinningNumber,10,,,,,,,,10,False
65de2d33d3572a704f8e2c93,4194,6272,"[185.04, 138.36, 122.86, 117.62, 105.03]",2024-02-27T18:42:19.051Z,2024-02-27T18:42:58.029Z,Resolved,crazytime,EUR,2.73,0.27,Alise,tts131885_______,1,CrazyBonus,10,WinningNumber,1,,,,,,,,1,False
65de2d06d3572a704f8e2c91,3989,6827,"[370.08, 276.72, 222.48, 219.6, 202.0]",2024-02-27T18:41:30.608Z,2024-02-27T18:42:13.138Z,Resolved,crazytime,EUR,1.4,0.0,Alise,tts131885_______,1,CrazyBonus,5,WinningNumber,1,,,,,,,,1,False
65de2cd1d3572a704f8e2c8d,7325,184492,"[4684.35, 3213.49, 2576.24, 2359.24, 1950.0]",2024-02-27T18:39:39.666Z,2024-02-27T18:41:20.011Z,Resolved,crazytime,EUR,3.0,31.33,Alise,tts131885_______,1,CashHunt,4,BonusRound,CrazyBonus,CrazyBonus,,,,50.0,50.0,25.0,50,False
